timestamp,requests_per_minute,request_duration,cpu_usage,memory,disk,network_load
1627299384,516.0,2992.4603,11.7831,672.3359,21764.2188,0.1315
1627299388,516.0,2992.4603,11.7831,672.3359,21764.2188,0.1315
1627299392,516.0,2992.4603,11.7831,672.3359,21764.2188,0.0846
1627299396,508.0,2992.4603,21.0425,673.4531,21766.5,0.0846
1627299400,508.0,2993.1577,21.0425,673.4531,21766.5,0.0846
1627299404,508.0,2993.1577,21.0425,673.4531,21766.5,0.0846
1627299408,508.0,2993.1577,21.0425,673.4531,21766.5,0.0989
1627299412,494.6667,2986.3334,17.4197,672.6016,21766.5,0.0989
1627299416,494.6667,2986.3334,17.4197,672.6016,21766.5,0.0989
1627299420,494.6667,2986.3334,17.4197,672.6016,21766.5,0.0989
1627299424,494.6667,2986.3334,24.7632,671.5859,21766.5,0.11
1627299428,482.6667,2843.6068,24.7632,671.5859,21766.5,0.11
1627299432,482.6667,2843.6068,24.7632,671.5859,21766.5,0.11
1627299436,482.6667,2843.6068,24.7632,671.5859,21766.5,0.11
1627299440,482.6667,2843.6068,16.839,671.2969,21766.5,0.0429
1627299444,488.0,2871.2372,16.839,671.2969,21766.5,0.0429
1627299448,488.0,2871.2372,16.839,671.2969,21766.5,0.0429
1627299452,488.0,2871.2372,16.839,671.2969,21766.5,0.219
1627299456,489.3333,2871.2372,19.477,673.7656,21768.6953,0.219
1627299460,489.3333,2938.8769,19.477,673.7656,21768.6953,0.219
1627299464,489.3333,2938.8769,19.477,673.7656,21768.6953,0.219
1627299468,489.3333,2938.8769,19.477,673.7656,21768.6953,0.094
1627299472,501.3333,3101.672,30.7014,675.0391,21769.793,0.094
1627299476,501.3333,3101.672,30.7014,675.0391,21769.793,0.094
1627299480,501.3333,3101.672,30.7014,675.0391,21769.793,0.094
1627299484,501.3333,3101.672,25.3528,670.2578,21769.793,0.0674
1627299488,485.3333,3102.7555,25.3528,670.2578,21769.793,0.0674
1627299492,485.3333,3102.7555,25.3528,670.2578,21769.793,0.0674
1627299496,485.3333,3102.7555,25.3528,670.2578,21769.793,0.0674
1627299500,485.3333,3102.7555,21.1628,667.7891,21770.5273,0.0849
1627299504,468.0,3055.9014,21.1628,667.7891,21770.5273,0.0849
1627299508,468.0,3055.9014,21.1628,667.7891,21770.5273,0.0849
1627299512,468.0,3055.9014,21.1628,667.7891,21770.5273,0.0762
1627299516,444.0,3055.9014,16.0324,673.4922,21772.6758,0.0762
1627299520,444.0,2985.4831,16.0324,673.4922,21772.6758,0.0762
1627299524,444.0,2985.4831,16.0324,673.4922,21772.6758,0.0762
1627299528,444.0,2985.4831,16.0324,673.4922,21772.6758,0.0301
1627299532,446.6667,3043.7881,12.5676,678.6992,21773.0156,0.0301
1627299536,446.6667,3043.7881,12.5676,678.6992,21773.0156,0.0301
1627299540,446.6667,3043.7881,12.5676,678.6992,21773.0156,0.0301
1627299544,446.6667,3043.7881,21.871,678.8477,21773.0156,0.4382
1627299548,438.6667,3061.4996,21.871,678.8477,21773.0156,0.4382
1627299552,438.6667,3061.4996,21.871,678.8477,21773.0156,0.4382
1627299556,438.6667,3061.4996,21.871,678.8477,21773.0156,0.4382
1627299560,438.6667,3061.4996,26.6387,673.7773,21773.7227,0.6573
1627299564,441.3333,3110.5005,26.6387,673.7773,21773.7227,0.6573
1627299568,441.3333,3110.5005,26.6387,673.7773,21773.7227,0.6573
1627299572,441.3333,3110.5005,26.6387,673.7773,21773.7227,0.0593
1627299576,426.6667,3110.5005,33.1572,669.5039,21775.793,0.0593
1627299580,426.6667,3044.7054,33.1572,669.5039,21775.793,0.0593
1627299584,426.6667,3044.7054,33.1572,669.5039,21775.793,0.0593
1627299588,426.6667,3044.7054,33.1572,669.5039,21775.793,0.0847
1627299592,424.0,3065.4108,21.7076,670.2109,21776.1211,0.0847
1627299596,424.0,3065.4108,21.7076,670.2109,21776.1211,0.0847
1627299600,424.0,3065.4108,21.7076,670.2109,21776.1211,0.0847
1627299604,424.0,3065.4108,21.4194,675.0391,21776.1211,0.3115
1627299608,413.3333,3075.1822,21.4194,675.0391,21776.1211,0.3115
1627299612,413.3333,3075.1822,21.4194,675.0391,21776.1211,0.3115
1627299616,413.3333,3075.1822,21.4194,675.0391,21776.1211,0.3115
1627299620,413.3333,3075.1822,10.9834,675.5742,21777.0625,0.2623
1627299624,409.3333,3110.0578,10.9834,675.5742,21777.0625,0.2623
1627299628,409.3333,3110.0578,10.9834,675.5742,21777.0625,0.2623
1627299632,409.3333,3110.0578,10.9834,675.5742,21777.0625,0.1635
1627299636,413.3333,3110.0578,31.5995,667.1523,21778.9453,0.1635
1627299640,413.3333,3088.0716,31.5995,667.1523,21778.9453,0.1635
1627299644,413.3333,3088.0716,31.5995,667.1523,21778.9453,0.1635
1627299648,413.3333,3088.0716,31.5995,667.1523,21778.9453,0.0849
1627299652,410.6667,3093.5393,20.5947,667.7188,21778.9453,0.0849
1627299656,410.6667,3093.5393,20.5947,667.7188,21778.9453,0.0849
1627299660,410.6667,3093.5393,20.5947,667.7188,21778.9453,0.0849
1627299664,410.6667,3093.5393,27.1855,675.0625,21778.9453,0.0638
1627299668,402.6667,3109.609,27.1855,675.0625,21778.9453,0.0638
1627299672,402.6667,3109.609,27.1855,675.0625,21778.9453,0.0638
1627299676,402.6667,3109.609,27.1855,675.0625,21778.9453,0.0638
1627299680,402.6667,3109.609,22.1482,675.6445,21778.9453,0.098
1627299684,389.3333,3146.1929,22.1482,675.6445,21778.9453,0.098
1627299688,389.3333,3146.1929,22.1482,675.6445,21778.9453,0.098
1627299692,389.3333,3146.1929,22.1482,675.6445,21778.9453,0.1015
1627299696,382.6667,3146.1929,21.2672,674.7461,21780.7266,0.1015
1627299700,382.6667,3190.909,21.2672,674.7461,21780.7266,0.1015
1627299704,382.6667,3190.909,21.2672,674.7461,21780.7266,0.1015
1627299708,382.6667,3190.909,21.2672,674.7461,21780.7266,0.0314
1627299712,373.3333,3211.7535,20.0895,675.4492,21781.6172,0.0314
1627299716,373.3333,3211.7535,20.0895,675.4492,21781.6172,0.0314
1627299720,373.3333,3211.7535,20.0895,675.4492,21781.6172,0.0314
1627299724,373.3333,3211.7535,20.0818,672.4805,21781.6172,0.0949
1627299728,365.3333,3222.4258,20.0818,672.4805,21781.6172,0.0949
1627299732,365.3333,3222.4258,20.0818,672.4805,21781.6172,0.0949
1627299736,365.3333,3222.4258,20.0818,672.4805,21781.6172,0.0949
1627299740,365.3333,3222.4258,13.2787,672.3633,21782.4805,0.0302
1627299744,356.0,3243.9863,13.2787,672.3633,21782.4805,0.0302
1627299748,356.0,3243.9863,13.2787,672.3633,21782.4805,0.0302
1627299752,356.0,3243.9863,13.2787,672.3633,21782.4805,0.0897
1627299756,356.0,3243.9863,21.4711,672.957,21784.207,0.0897
1627299760,356.0,3232.562,21.4711,672.957,21784.207,0.0897
1627299764,356.0,3232.562,21.4711,672.957,21784.207,0.0897
1627299768,356.0,3232.562,21.4711,672.957,21784.207,0.0691
1627299772,345.3333,3279.996,12.6437,672.8398,21784.207,0.0691
1627299776,345.3333,3279.996,12.6437,672.8398,21784.207,0.0691
1627299780,345.3333,3279.996,12.6437,672.8398,21784.207,0.0691
1627299784,345.3333,3279.996,20.4471,672.5586,21784.207,0.037
1627299788,338.6667,3247.5809,20.4471,672.5586,21784.207,0.037
1627299792,338.6667,3247.5809,20.4471,672.5586,21784.207,0.037
1627299796,338.6667,3247.5809,20.4471,672.5586,21784.207,0.037
1627299800,338.6667,3247.5809,9.1167,672.0508,21785.0234,0.027
1627299804,334.6667,3256.5525,9.1167,672.0508,21785.0234,0.027
1627299808,334.6667,3256.5525,9.1167,672.0508,21785.0234,0.027
1627299812,334.6667,3256.5525,9.1167,672.0508,21785.0234,0.069
1627299816,326.6667,3256.5525,18.7294,671.6133,21786.6562,0.069
1627299820,326.6667,3267.9263,18.7294,671.6133,21786.6562,0.069
1627299824,326.6667,3267.9263,18.7294,671.6133,21786.6562,0.069
1627299828,326.6667,3267.9263,18.7294,671.6133,21786.6562,0.0269
1627299832,329.3333,3297.8649,14.7695,669.9414,21786.6562,0.0269
1627299836,329.3333,3297.8649,14.7695,669.9414,21786.6562,0.0269
1627299840,329.3333,3297.8649,14.7695,669.9414,21786.6562,0.0269
1627299844,329.3333,3297.8649,17.7822,669.5195,21786.6562,0.0519
1627299848,318.6667,3301.6336,17.7822,669.5195,21786.6562,0.0519
1627299852,318.6667,3301.6336,17.7822,669.5195,21786.6562,0.0519
1627299856,318.6667,3301.6336,17.7822,669.5195,21786.6562,0.0519
1627299860,318.6667,3301.6336,21.5954,670.6016,21786.8906,0.0774
1627299864,322.6667,3296.8951,21.5954,670.6016,21786.8906,0.0774
1627299868,322.6667,3296.8951,21.5954,670.6016,21786.8906,0.0774
1627299872,322.6667,3296.8951,21.5954,670.6016,21786.8906,0.0497
1627299876,309.3333,3296.8951,18.2979,663.7578,21788.3672,0.0497
1627299880,309.3333,3303.3818,18.2979,663.7578,21788.3672,0.0497
1627299884,309.3333,3303.3818,18.2979,663.7578,21788.3672,0.0497
1627299888,309.3333,3303.3818,18.2979,663.7578,21788.3672,0.0672
1627299892,302.6667,3342.2724,18.802,662.4961,21788.8711,0.0672
1627299896,302.6667,3342.2724,18.802,662.4961,21788.8711,0.0672
1627299900,302.6667,3342.2724,18.802,662.4961,21788.8711,0.0672
1627299904,302.6667,3342.2724,20.0865,669.543,21788.8711,0.0349
1627299908,292.0,3290.6918,20.0865,669.543,21788.8711,0.0349
1627299912,292.0,3290.6918,20.0865,669.543,21788.8711,0.0349
1627299916,292.0,3290.6918,20.0865,669.543,21788.8711,0.0349
1627299920,292.0,3290.6918,18.3046,670.043,21789.332,0.0467
1627299924,288.0,3259.3595,18.3046,670.043,21789.332,0.0467
1627299928,288.0,3259.3595,18.3046,670.043,21789.332,0.0467
1627299932,288.0,3259.3595,18.3046,670.043,21789.332,0.0476
1627299936,290.6667,3259.3595,15.8202,671.5273,21790.6992,0.0476
1627299940,290.6667,3198.7181,15.8202,671.5273,21790.6992,0.0476
1627299944,290.6667,3198.7181,15.8202,671.5273,21790.6992,0.0476
1627299948,290.6667,3198.7181,15.8202,671.5273,21790.6992,0.0235
1627299952,282.6667,3329.4638,12.8586,671.6289,21790.9219,0.0235
1627299956,282.6667,3329.4638,12.8586,671.6289,21790.9219,0.0235
1627299960,282.6667,3329.4638,12.8586,671.6289,21790.9219,0.0235
1627299964,282.6667,3329.4638,20.7607,674.457,21790.9219,0.0458
1627299968,280.0,3248.8875,20.7607,674.457,21790.9219,0.0458
1627299972,280.0,3248.8875,20.7607,674.457,21790.9219,0.0458
1627299976,280.0,3248.8875,20.7607,674.457,21790.9219,0.0458
1627299980,280.0,3248.8875,16.2086,677.0273,21791.582,0.0229
1627299984,278.6667,3299.5107,16.2086,677.0273,21791.582,0.0229
1627299988,278.6667,3299.5107,16.2086,677.0273,21791.582,0.0229
1627299992,278.6667,3299.5107,16.2086,677.0273,21791.582,0.4396
1627299996,274.6667,3299.5107,17.2197,664.9023,21792.9023,0.4396
1627300000,274.6667,3246.4529,17.2197,664.9023,21792.9023,0.4396
1627300004,274.6667,3246.4529,17.2197,664.9023,21792.9023,0.4396
1627300008,274.6667,3246.4529,17.2197,664.9023,21792.9023,0.6594
1627300012,269.3333,3340.8931,9.1396,661.2812,21792.9023,0.6594
1627300016,269.3333,3340.8931,9.1396,661.2812,21792.9023,0.6594
1627300020,269.3333,3340.8931,9.1396,661.2812,21792.9023,0.6594
1627300024,269.3333,3340.8931,18.7446,673.5859,21792.9023,0.0299
1627300028,260.0,3330.172,18.7446,673.5859,21792.9023,0.0299
1627300032,260.0,3330.172,18.7446,673.5859,21792.9023,0.0299
1627300036,260.0,3330.172,18.7446,673.5859,21792.9023,0.0299
1627300040,260.0,3330.172,8.1675,674.7305,21793.5078,0.1911
1627300044,258.6667,3333.5808,8.1675,674.7305,21793.5078,0.1911
1627300048,258.6667,3333.5808,8.1675,674.7305,21793.5078,0.1911
1627300052,258.6667,3333.5808,8.1675,674.7305,21793.5078,0.2864
1627300056,257.3333,3333.5808,16.4829,672.0977,21794.7188,0.2864
1627300060,257.3333,3328.1121,16.4829,672.0977,21794.7188,0.2864
1627300064,257.3333,3328.1121,16.4829,672.0977,21794.7188,0.2864
1627300068,257.3333,3328.1121,16.4829,672.0977,21794.7188,0.0206
1627300072,245.3333,3424.2317,10.9268,669.6875,21794.7188,0.0206
1627300076,245.3333,3424.2317,10.9268,669.6875,21794.7188,0.0206
1627300080,245.3333,3424.2317,10.9268,669.6875,21794.7188,0.0206
1627300084,245.3333,3424.2317,20.8755,675.3359,21794.7188,0.0378
1627300088,237.3333,3413.4985,20.8755,675.3359,21794.7188,0.0378
1627300092,237.3333,3413.4985,20.8755,675.3359,21794.7188,0.0378
1627300096,237.3333,3413.4985,20.8755,675.3359,21794.7188,0.0378
1627300100,237.3333,3413.4985,6.4792,680.75,21794.7188,0.0459
1627300104,232.0,3433.0585,6.4792,680.75,21794.7188,0.0459
1627300108,232.0,3433.0585,6.4792,680.75,21794.7188,0.0459
1627300112,232.0,3433.0585,6.4792,680.75,21794.7188,0.0503
1627300116,229.3333,3433.0585,14.3457,685.6875,21795.8672,0.0503
1627300120,229.3333,3462.3566,14.3457,685.6875,21795.8672,0.0503
1627300124,229.3333,3462.3566,14.3457,685.6875,21795.8672,0.0503
1627300128,229.3333,3462.3566,14.3457,685.6875,21795.8672,0.0428
1627300132,225.3333,3444.7767,9.3414,678.7383,21796.4414,0.0428
1627300136,225.3333,3444.7767,9.3414,678.7383,21796.4414,0.0428
1627300140,225.3333,3444.7767,9.3414,678.7383,21796.4414,0.0428
1627300144,225.3333,3444.7767,15.238,664.2773,21796.4414,0.0338
1627300148,212.0,3444.6901,15.238,664.2773,21796.4414,0.0338
1627300152,212.0,3444.6901,15.238,664.2773,21796.4414,0.0338
1627300156,212.0,3444.6901,15.238,664.2773,21796.4414,0.0338
1627300160,212.0,3444.6901,6.7071,665.1211,21796.793,0.0171
1627300164,209.3333,3349.7519,6.7071,665.1211,21796.793,0.0171
1627300168,209.3333,3349.7519,6.7071,665.1211,21796.793,0.0171
1627300172,209.3333,3349.7519,6.7071,665.1211,21796.793,0.0341
1627300176,209.3333,3349.7519,12.5699,665.5586,21797.8555,0.0341
1627300180,209.3333,3427.1216,12.5699,665.5586,21797.8555,0.0341
1627300184,209.3333,3427.1216,12.5699,665.5586,21797.8555,0.0341
1627300188,209.3333,3427.1216,12.5699,665.5586,21797.8555,0.0159
1627300192,210.6667,3419.3207,11.6972,667.3945,21798.0352,0.0159
1627300196,210.6667,3419.3207,11.6972,667.3945,21798.0352,0.0159
1627300200,210.6667,3419.3207,11.6972,667.3945,21798.0352,0.0159
1627300204,210.6667,3419.3207,15.9217,667.5352,21798.0352,0.0306
1627300208,201.3333,3510.0355,15.9217,667.5352,21798.0352,0.0306
1627300212,201.3333,3510.0355,15.9217,667.5352,21798.0352,0.0306
1627300216,201.3333,3510.0355,15.9217,667.5352,21798.0352,0.0306
1627300220,201.3333,3510.0355,9.1193,663.1602,21798.3555,0.046
